timestamp,x,y,z,qx,qy,qz,qw
000118,56.31433,-15.486139,1.2885743,0.6935175,-0.000783812,-0.020261345,-0.72015446
000119,56.283707,-16.145374,1.3252767,0.6936888,-0.00050202414,-0.021246146,-0.7199613
000120,56.27108,-16.81567,1.3410907,0.69352883,-0.0022995418,-0.024511257,-0.72000813
000121,56.22681,-17.462585,1.3774346,0.69435763,-0.0044701584,-0.027573114,-0.71908784
000122,56.170616,-18.106852,1.389051,0.6951659,-0.0053452407,-0.028392505,-0.7182686
000123,56.152126,-18.92723,1.4112616,0.69604534,-0.0045990744,-0.026994534,-0.71747553
000124,56.18049,-19.600088,1.4563525,0.6963002,-0.002548942,-0.024680022,-0.71732175
000125,56.175426,-20.389406,1.5040815,0.6976333,-0.001731224,-0.023660118,-0.7160621
000126,56.11979,-21.16719,1.5593222,0.6992863,-0.00083422195,-0.027700769,-0.7143043
000127,56.146404,-21.925882,1.5823842,0.6996129,-0.002714357,-0.03005568,-0.7138845
000128,56.13675,-22.713139,1.6246462,0.7006882,-0.0041058008,-0.029327381,-0.7128528
000129,56.15821,-23.379282,1.6466764,0.70179874,-0.00554789,-0.026105443,-0.71187514
000130,56.085403,-24.102936,1.7026064,0.70395416,-0.0031983044,-0.025883771,-0.70976645
000131,56.133812,-24.767282,1.7122601,0.7044182,-0.0017659967,-0.028437354,-0.70921314
000132,56.109703,-25.582714,1.7775295,0.7057773,-0.0029874907,-0.029442096,-0.7078154
000133,56.13428,-26.328156,1.8026458,0.7071683,-0.004810327,-0.028804086,-0.70644194
000134,56.158356,-27.067263,1.8252246,0.70812964,-0.0061130496,-0.028242158,-0.7054909
000135,56.17373,-27.85488,1.8617258,0.7093415,-0.0039864127,-0.02859452,-0.7042734
000136,56.135914,-28.566214,1.8935494,0.7111935,-0.0020536876,-0.030916754,-0.7023132
000137,56.1072,-29.394642,1.9341408,0.7128912,-0.0010692118,-0.032340553,-0.7005277
000138,56.141525,-30.13333,1.9654446,0.71373945,-0.0014324742,-0.032527976,-0.69965416
000139,56.160717,-30.90185,2.014445,0.71482474,-0.00042245377,-0.032536227,-0.6985463
000140,56.182583,-31.653109,2.0642347,0.7159698,0.000970881,-0.032960407,-0.6973522
000141,56.215225,-32.37679,2.1053226,0.71665764,0.00047930796,-0.032665476,-0.6966597
000142,56.23125,-33.138668,2.1434653,0.7180542,-0.00047836927,-0.032629613,-0.69522184
